src_ip,dst_ip,protocol,src_port,dst_port,duration, service,src_bytes,dst_bytes,wrong_fragment,hot,num_failed_logins,logged_in,lnum_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_hot_login,is_guest_login,count
192.168.101.4,40.90.184.82,6,443,64838,1451737,64838,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,443,64838,1451737,64838,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,40.90.184.82,6,443,64838,1451737,64838,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,64956,1451983,64956,52,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,20.212.96.199,6,64956,443,1451983,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,20.212.96.199,6,64956,443,1451983,443,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,64956,1451983,64956,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,64956,1451983,64956,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,64956,1451983,64956,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,64956,1451983,64956,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,64956,1451983,64956,1438,1438,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,20.212.96.199,6,64956,443,1451983,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,20.212.96.199,6,64956,443,1451983,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,65113,1452318,65113,52,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,20.212.96.199,6,65113,443,1452318,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,20.212.96.199,6,65113,443,1452318,443,557,557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,65113,1452318,65113,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,65113,1452318,65113,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,65113,1452318,65113,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,65113,1452318,65113,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20.212.96.199,192.168.101.4,6,443,65113,1452318,65113,1438,1438,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,20.212.96.199,6,65113,443,1452318,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,20.212.96.199,6,65113,443,1452318,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35.163.79.183,192.168.101.4,6,443,65130,1452395,65130,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35.163.79.183,192.168.101.4,6,443,65130,1452395,65130,153,153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35.163.79.183,192.168.101.4,6,443,65130,1452395,65130,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35.163.79.183,192.168.101.4,6,443,65130,1452395,65130,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
192.168.101.4,35.163.79.183,6,65130,443,1452395,443,40,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35.163.79.183,192.168.101.4,6,443,65130,1452395,65130,1476,1476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35.163.79.183,192.168.101.4,6,443,65130,1452395,65130,396,396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
